ANP,SECTOR,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,PROCEDENCIA,EDAD,FECHA,VISITAS_E1,VISITAS_E2A3,VISITAS_E3A30,FECHA_CORTE,TIPO_ESTADIA_PREDOMINANTE,ANIO,MES
SH de la Pampa de Ayacucho,No especificado,AYACUCHO,HUAMANGA,QUINUA,50108.0,EXTRANJERO,MENOR,20220531,2,2,0,20240527,1 día,2022,5
RN de Lachay,No especificado,LIMA,HUAURA,HUACHO,150801.0,LOCAL,MENOR,20230430,8,0,0,20240527,1 día,2023,4
SN Lagunas de Mejía,No especificado,AREQUIPA,ISLAY,DEAN VALDIVIA,40703.0,NACIONAL,MENOR,20220430,7,0,0,20240527,1 día,2022,4
RN Pampa Galeras Barbara D' Achille,No especificado,AYACUCHO,LUCANAS,LUCANAS,50611.0,EXTRANJERO,ADULTO,20220131,13,0,0,20240527,1 día,2022,1
PN de Tingo María,Tres de Mayo,HUANUCO,LEONCIO PRADO,MARIANO DAMASO BERAUN,100606.0,NACIONAL,MENOR,20220831,10,0,0,20240527,1 día,2022,8
RN de Paracas,No especificado,ICA,No especificado,No especificado,0.0,EXTRANJERO,ADULTO,20220930,2323,0,0,20240527,1 día,2022,9
PN de Tingo María,Cueva de las Lechuzas,HUANUCO,LEONCIO PRADO,MARIANO DAMASO BERAUN,100606.0,NACIONAL,MENOR,20221130,826,0,0,20240527,1 día,2022,11
RN Pacaya-Samiria,Yanayacu,LORETO,LORETO,PARINARI,160302.0,NACIONAL,ADULTO,20230331,0,26,7,20240527,2 a 3 días,2023,3
"RN Sistema de Islas, Islotes y Puntas Guaneras",Punta Coles,No especificado,No especificado,No especificado,0.0,LOCAL,INFANTE,20220331,1,0,0,20240527,1 día,2022,3
RN del Titicaca,Uros Chulluni,PUNO,HUANCANE,HUANCANE,210601.0,NACIONAL,ADULTO,20230930,128,0,0,20240527,1 día,2023,9
PN del Manu,Río Manu,MADRE DE DIOS,MANU,MANU,170201.0,EXTRANJERO,ADULTO,20231031,12,83,14,20240527,2 a 3 días,2023,10
RN de Lachay,RNL,LIMA,HUAURA,HUACHO,150801.0,LOCAL,MENOR,20230331,12,0,0,20240527,1 día,2023,3
SH de la Pampa de Ayacucho,No especificado,AYACUCHO,HUAMANGA,QUINUA,50108.0,LOCAL,MENOR,20221130,2398,0,0,20240527,1 día,2022,11
ZR Sierra del Divisor,No especificado,UCAYALI,CORONEL PORTILLO,CALLERIA,250101.0,LOCAL,ADULTO MAYOR,20230531,1,0,0,20240527,1 día,2023,5
RN Pacaya-Samiria,Yanayacu,LORETO,LORETO,PARINARI,160302.0,NACIONAL,ADULTO,20220531,23,39,8,20240527,2 a 3 días,2022,5
RN de Lachay,RNL,LIMA,HUAURA,HUACHO,150801.0,NACIONAL,MENOR,20230131,60,0,0,20240527,1 día,2023,1
SN de Huayllay,No especificado,PASCO,PASCO,HUAYLLAY,190104.0,LOCAL,MENOR,20230930,1116,0,0,20240527,1 día,2023,9
RP Nor Yauyos-Cochas,Sureste,LIMA,YAUYOS,HUANCAYA,151014.0,NACIONAL,MENOR,20230531,19,55,0,20240527,2 a 3 días,2023,5
"RN Sistema de Islas, Islotes y Puntas Guaneras",Islas Guañape,No especificado,No especificado,No especificado,0.0,LOCAL,MENOR,20230228,5,0,0,20240527,1 día,2023,2
SN de Calipuy,Vizcacha,LA LIBERTAD,SANTIAGO DE CHUCO,SANTIAGO DE CHUCO,131001.0,NACIONAL,ADULTO,20230930,6,0,0,20240527,1 día,2023,9
RN Tambopata,Sandoval,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,170101.0,LOCAL,ADULTO,20230531,10,0,0,20240527,1 día,2023,5
PN Huascarán,Quillcayhuanca,ANCASH,HUARAZ,INDEPENDENCIA,20105.0,EXTRANJERO,ADULTO,20221031,8,0,0,20240527,1 día,2022,10
RN del Titicaca,Titino,PUNO,HUANCANE,HUANCANE,210601.0,NACIONAL,ADULTO,20230331,10,0,0,20240527,1 día,2023,3
RN de Paracas,No especificado,ICA,No especificado,No especificado,0.0,NACIONAL,ADULTO,20230228,24651,0,0,20240527,1 día,2023,2
